SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
384214,-4.5626,-39.5189,6.5750,-0.7752,0.9619,-1.2381,0
384380,-5.2056,-42.3000,5.6430,0.7205,0.0560,-0.8303,0
384547,-5.7216,-45.0342,4.9346,0.0640,-0.2276,-1.0988,0
384714,-5.9961,-47.9238,4.0672,-0.8111,0.0956,-1.6762,0
384880,-5.7930,-51.1507,2.4604,-1.5346,0.3565,-2.6744,0
385047,-4.9736,-54.7293,-0.0073,-0.5903,0.6884,-2.4666,0
385214,-3.9252,-58.3301,-2.4836,1.3356,0.1963,-0.4354,0
385380,-2.7437,-61.5782,-4.7481,2.0384,-0.3724,0.6053,0
385547,-1.2030,-64.5113,-7.1944,1.3691,-0.2280,-0.1524,0
385714,1.1818,-67.2328,-10.6559,0.9238,0.2204,-0.8284,0
385880,4.4402,-69.8583,-15.2370,0.8396,1.1392,-0.5703,0
386047,7.2262,-72.4413,-19.1623,1.8138,0.2254,1.4605,0
386214,10.0216,-74.6191,-22.8853,1.9370,-0.6878,2.0344,0
386380,14.3154,-76.2049,-28.0945,1.4694,-0.4720,1.4249,0
386547,20.2160,-77.3820,-35.0579,0.5272,0.4825,-0.1431,0
386714,27.0693,-78.4796,-43.2339,-0.0309,1.0793,-0.6539,0
386880,33.8151,-79.6109,-51.3727,0.4008,0.1704,0.4737,0
387047,40.5086,-80.6762,-59.1737,1.0351,-1.4933,1.9089,0
387214,47.5118,-81.1712,-66.9724,1.1826,-1.7402,2.1219,0
387380,54.4987,-81.1973,-74.5631,1.0753,-0.7833,0.8891,0
387547,61.2689,-81.2007,-81.9163,0.7821,0.0968,-0.0748,0
387714,68.0960,-81.3627,-89.2575,0.7772,-0.3273,1.0397,0
387880,73.5211,-81.5848,-94.9900,1.0088,-1.6412,2.8462,0
388047,75.0788,-81.6784,-96.6288,1.1913,-2.4457,4.2338,0
388214,72.0682,-81.4500,-93.4465,1.7491,-2.0792,3.3541,0
388380,67.4199,-80.9550,-88.5377,1.3978,-0.0333,1.2903,0
388547,62.6339,-80.7416,-83.5820,1.0186,0.8703,0.6432,0
388714,57.0637,-80.6234,-77.8896,0.9664,-0.0307,1.6854,0
388880,49.4390,-80.3242,-70.0016,1.2345,-1.4615,3.1709,0
389047,39.0429,-79.4324,-59.1010,1.8750,-2.3849,4.0618,0
389214,30.6846,-77.3424,-50.1665,2.2439,-0.9059,1.2539,0
389380,25.7023,-74.9314,-44.7118,1.1681,1.3396,-1.5006,0
389547,21.4698,-73.0418,-39.9833,0.3873,1.4839,-0.4947,0
389714,16.1369,-71.3104,-34.0998,0.9902,-0.4679,1.5461,0
389880,10.6344,-68.9383,-27.8436,2.4871,-2.4615,3.0065,0
390047,6.4152,-65.5600,-22.4567,3.5086,-2.8272,1.8707,0
390214,3.6369,-61.6858,-18.4442,2.1051,-0.3247,-1.2823,0
390380,1.7968,-57.8797,-15.6915,0.7478,1.1046,-2.4704,0
390547,0.4740,-54.2701,-13.6195,0.3049,1.0790,-1.7291,0
390714,-0.6261,-50.5527,-11.7695,1.1343,-0.3465,-0.6279,0
390880,-1.3435,-46.6782,-10.0436,1.2413,-0.2901,-1.2484,0
391047,-1.8190,-42.9044,-8.4240,-0.5821,1.3886,-1.8054,0
391214,-2.5074,-39.4957,-6.7709,-2.0400,2.1774,-1.8195,0
391380,-3.2148,-36.4325,-5.3359,-1.6184,1.7068,-1.3579,0
391547,-3.8940,-33.4218,-3.9669,-0.2575,0.7006,-0.7528,0
391714,-4.4578,-30.3161,-2.7372,-0.2772,0.4859,-1.1379,0
391880,-4.6621,-27.2437,-2.0598,-1.5097,0.7001,-1.3101,0
392047,-4.7955,-24.5159,-1.7648,-2.7113,0.5665,-1.0943,0
392214,-4.9116,-22.1035,-1.7500,-1.6794,-0.2069,-0.7754,0
392380,-4.9738,-19.8243,-1.6933,-0.6511,-0.6397,-0.6898,0
392547,-4.9391,-17.5974,-1.7049,-0.9141,-0.5292,-0.5784,0
392714,-4.8079,-15.6317,-1.7233,-1.8393,-0.3508,-0.5259,0
392880,-4.6227,-14.0045,-1.8923,-1.7795,-0.1501,-0.1965,0
393047,-4.4644,-12.5622,-2.1441,-0.8386,-0.0801,-0.1051,0
393214,-4.3201,-11.1708,-2.3456,-0.4621,-0.1862,-0.1723,0
393380,-4.1088,-9.8553,-2.4351,-0.5628,-0.2247,-0.1897,0
393547,-3.8000,-8.6871,-2.5157,-0.9152,-0.0590,0.0548,0
393714,-3.5353,-7.7107,-2.6748,-1.2585,0.2912,0.3394,0
393880,-3.3942,-6.8721,-2.8675,-0.8580,0.3350,0.4227,0
394047,-3.3079,-6.1197,-3.0200,-0.5486,0.1430,0.1844,0
394214,-3.1820,-5.4228,-3.0541,-0.2461,-0.1264,0.0617,0
394380,-2.9873,-4.8341,-2.9965,-0.8511,-0.2146,0.1659,0
394547,-2.7475,-4.4273,-3.0379,-0.8689,0.0331,0.3941,0
394714,-2.6143,-4.1165,-3.1872,-0.5738,0.2735,0.4627,0
394880,-2.5817,-3.8242,-3.3681,-0.1132,0.2541,0.1736,0
395047,-2.5416,-3.5612,-3.3792,-0.0925,-0.0135,0.0561,0
395214,-2.4410,-3.3252,-3.3497,-0.0857,-0.0075,0.0620,0
395380,-2.3004,-3.1561,-3.2883,-0.4388,-0.0305,0.1854,0
395547,-2.2002,-3.0777,-3.3124,-0.4012,0.1946,0.3574,0
395714,-2.1727,-3.0021,-3.4092,0.0542,0.1109,0.0980,0
395880,-2.1428,-2.8745,-3.4839,0.1396,-0.0419,0.0021,0
396047,-2.0702,-2.7286,-3.4867,0.1044,-0.0616,0.0707,0
396214,-1.9552,-2.6403,-3.3891,-0.3052,-0.0468,0.2258,0
396380,-1.8610,-2.6200,-3.3442,-0.1090,0.2329,0.3577,0
396547,-1.8812,-2.5916,-3.3907,-0.0038,0.2641,0.3739,0
396714,-1.9632,-2.5256,-3.5290,0.2755,0.0798,0.1026,0
396880,-1.9796,-2.4077,-3.5934,0.3353,-0.2122,-0.0867,0
397047,-1.8810,-2.3419,-3.4766,-0.0883,-0.3351,0.0539,0
397214,-1.7472,-2.3745,-3.2750,-0.1535,0.0081,0.2611,0
397380,-1.6995,-2.4175,-3.1793,-0.0435,0.2332,0.3532,0
397547,-1.7606,-2.4131,-3.2637,0.1992,0.1282,0.1647,0
397714,-1.8202,-2.3122,-3.3013,0.4134,-0.1816,-0.1186,0
397880,-1.7536,-2.2056,-3.2381,0.1173,-0.1705,-0.0232,0
398047,-1.6279,-2.1628,-3.0659,-0.2046,-0.0173,0.2574,0
398214,-1.5476,-2.1899,-2.8971,-0.2675,0.1861,0.3505,0
398380,-1.5432,-2.2501,-2.7732,-0.0241,0.2676,0.2756,0
398547,-1.5673,-2.2425,-2.7234,0.4396,-0.0922,-0.0875,0
398714,-1.5226,-2.1662,-2.5337,0.2237,-0.2789,-0.0668,0
398880,-1.4070,-2.1168,-2.3028,-0.1937,-0.0509,0.1756,0
399047,-1.2993,-2.1198,-2.1532,-0.2499,0.0312,0.3169,0
399214,-1.3069,-2.1416,-2.1017,-0.1723,0.1615,0.3403,0
399380,-1.4008,-2.1347,-2.2014,0.0512,-0.0363,0.1038,0
399547,-1.4227,-2.1058,-2.2331,0.2746,-0.4384,-0.2744,0
399714,-1.3112,-2.0748,-2.1433,0.1918,-0.4794,-0.2296,0
399880,-1.1501,-2.0414,-2.0229,0.1076,-0.1307,-0.0068,0
400047,-1.0317,-2.0151,-1.9272,-0.0259,0.1645,0.2343,0
400214,-0.9939,-2.0013,-1.8459,-0.0721,0.1182,0.2622,0
400381,-0.9798,-1.9825,-1.8101,0.1243,-0.0765,0.0743,0
400547,-0.9240,-1.9366,-1.7379,0.1608,-0.1456,0.0098,0
400714,-0.8381,-1.8788,-1.6702,0.1516,0.0186,0.1100,0
